"Name","Mittelbreite","Radius","Taillierung","Gewicht","Größen","Preis","Link"
"SCOTT SEA 108 24/25 SKI",108,19,"139, 108, 128",2040,"184, 192","569.00","https://www.sport-conrad.com/produkte/scott/sea-108.html"
"LINE PESCADO 24/25 SKI",125,195,"158, 125, 144",1950,"180","699.00","https://www.sport-conrad.com/produkte/line/pescado-sc-4.html"
"ROSSIGNOL SENDER 94 24/25 SKI",94,16,"127, 94, 117",1700,"172, 178, 186","449.00","https://www.sport-conrad.com/produkte/rossignol/sender-94.html"
"VÖLKL MANTRA 108 24/25 SKI",108,18,"146, 108, 129",2230,"184","599.00","https://www.sport-conrad.com/produkte/voelkl/mantra-108.html"
"BLIZZARD SHEEVA 9 24/25 SKI DAMEN",96,16,"129, 96, 118, 5",1700,"156, 162, 168, 174","449.00","https://www.sport-conrad.com/produkte/blizzard/sheeva-9.html"
"LINE PESCADO 24/25 SKI",125,195,"158, 125, 144",1950,"180","699.00","https://www.sport-conrad.com/produkte/line/pescado-sc-4.html"
"ROSSIGNOL SENDER 94 24/25 SKI",94,16,"127, 94, 117",1700,"172, 178, 186","449.00","https://www.sport-conrad.com/produkte/rossignol/sender-94.html"
"DYNASTAR M-FREE 99 24/25 SKI",99,17,"128, 99, 120",1850,"171, 179, 185","499.00","https://www.sport-conrad.com/produkte/dynastar/m-free-99-sc-1.html"
"BLIZZARD SHEEVA 9 24/25 SKI DAMEN",96,16,"129, 96, 118, 5",1700,"156, 162, 168, 174","449.00","https://www.sport-conrad.com/produkte/blizzard/sheeva-9.html"
"BLACK CROWS JUSTIS 24/25 SKI",100,21,"138, 100, 123",2150,"177, 183, 189","1048.95","https://www.sport-conrad.com/produkte/black-crows/justis-sc-2.html"
"ROSSIGNOL SENDER SOUL 102 24/25 SKI",102,16,"135, 102, 125",1750,"172, 180, 188","499.00","https://www.sport-conrad.com/produkte/rossignol/sender-soul-102.html"
"DPS CARBON KAIZEN 105 (INKL. PHANTOM) 24/25 SKI",105,18,"135, 105, 119",1910,"171, 179, 184, 189","1695.95","https://www.sport-conrad.com/produkte/dps/carbon-kaizen-105-inkl-phantom.html"
